Person1,2,2/12/2021
Person1,1,2/13/2021
Person2,4,2/14/2021
Person2,2,2/15/2021
Person3,1,2/16/2021
Person3,7,2/17/2021
Person6,9,2/18/2021
Person9,11,2/19/2021
Person3,4,2/20/2021
Person5,3,2/21/2021
Person8,7,2/22/2021
Person8,3,2/23/2021
Person7,17,2/24/2021
Person6,19,2/25/2021
Person7,13,2/26/2021
Person5,6,2/27/2021
Person6,20,2/28/2021
Person4,10,3/1/2021
Person4,6,3/2/2021
Person4,19,3/3/2021
Person2,1,3/4/2021
Person1,26,3/5/2021
Person9,26,3/6/2021
Person4,4,3/7/2021
Person7,20,3/8/2021
Person1,29,3/9/2021
Person3,34,3/10/2021
Person10,31,3/11/2021
Person2,15,3/12/2021
Person5,19,3/13/2021
Person8,18,3/14/2021
Person17,3,3/15/2021
Person9,28,3/16/2021
Person8,23,3/17/2021
Person11,35,3/18/2021
Person7,25,3/19/2021
Person17,37,3/20/2021
Person20,26,3/21/2021
Person2,16,3/22/2021
Person11,40,3/23/2021
Person17,22,3/24/2021
Person12,28,3/25/2021
Person11,4,3/26/2021
Person2,30,3/27/2021
Person15,52,3/28/2021
Person1,3,3/29/2021
Person15,36,3/30/2021
Person3,43,3/31/2021
Person9,10,4/1/2021
Person14,47,4/2/2021
Person16,43,4/3/2021
Person11,23,4/4/2021
Person4,14,4/5/2021
Person10,4,4/6/2021
Person16,29,4/7/2021
Person17,7,4/12/2021
Person2,34,4/12/2021
Person15,53,4/12/2021
Person10,26,4/12/2021
Person11,61,4/12/2021
Person23,50,4/12/2021
Person12,67,4/14/2021
Person10,24,4/15/2021
Person19,70,4/16/2021
Person5,37,4/17/2021
Person24,54,4/18/2021
Person10,53,4/19/2021
Person5,36,4/19/2021
Person6,54,4/19/2021
Person18,29,4/19/2021
Person28,70,4/19/2021
Person18,22,4/19/2021
Person20,52,4/19/2021
Person12,22,4/19/2021
Person18,84,4/19/2021
Person25,45,4/19/2021
Person6,52,4/19/2021
Person3,46,4/19/2021
Person18,10,4/19/2021
Person3,90,4/19/2021
Person13,4,4/19/2021
Person11,83,4/19/2021
Person10,22,4/20/2021
Person16,13,4/20/2021
Person20,48,4/20/2021
Person23,42,4/20/2021
Person19,10,4/20/2021
Person35,9,4/21/2021
Person14,75,4/22/2021
Person22,83,4/22/2021
Person32,91,4/22/2021
Person19,41,4/25/2021
Person25,77,4/25/2021
Person17,65,4/28/2021
Person17,91,4/28/2021
Person14,61,4/28/2021
Person34,57,4/28/2021
Person8,36,4/28/2021
Person22,47,4/28/2021
Person31,38,4/28/2021
Person12,37,4/28/2021
Person33,22,4/28/2021
Person7,66,4/29/2021
Person28,79,4/30/2021
Person31,48,4/30/2021
Person22,51,4/30/2021
Person9,58,4/30/2021
Person29,20,4/30/2021
Person24,90,4/30/2021
Person23,94,4/30/2021
Person36,47,5/1/2021
Person36,88,5/1/2021
Person37,46,5/1/2021
Person23,63,5/1/2021
Person25,87,5/1/2021
Person30,14,5/2/2021
Person38,24,5/2/2021
Person48,97,5/2/2021
Person5,61,5/2/2021
Person31,118,5/2/2021
Person21,112,5/2/2021
Person30,16,5/2/2021
Person22,113,5/3/2021
Person38,121,5/3/2021
Person12,44,5/3/2021
Person12,110,5/3/2021
Person11,106,5/4/2021
Person3,86,5/4/2021
Person31,137,5/4/2021
Person31,78,5/4/2021
Person47,31,5/4/2021
Person25,65,5/4/2021
Person25,122,5/4/2021
Person5,84,5/5/2021
Person20,1,5/5/2021
Person19,54,5/5/2021
Person1,129,5/6/2021
Person23,30,5/6/2021
Person23,32,5/6/2021
Person43,143,5/6/2021
Person1,107,5/6/2021
Person15,91,5/6/2021
Person23,112,5/7/2021
Person47,126,5/7/2021
Person20,13,5/7/2021
Person11,95,5/7/2021
Person12,113,5/7/2021
Person44,88,5/8/2021
Person47,98,5/8/2021
Person24,24,5/8/2021
Person23,115,5/8/2021
Person28,34,5/8/2021
Person29,35,5/9/2021
Person13,124,5/10/2021
Person42,57,5/11/2021
Person34,118,5/12/2021
Person43,128,5/12/2021
Person50,94,5/12/2021
Person56,133,5/12/2021
Person8,11,5/12/2021
Person53,18,5/12/2021
Person36,95,5/14/2021
